,Ticker,Tipo,SgmtNm,TckrSymb,Validade,Strike,TradQty
3285,BBAS3,EURO,EQUITY PUT,BBASU347,2020-09-21,34.79,2
3290,BBAS3,EURO,EQUITY PUT,BBASU357,2020-09-21,35.79,1
3379,BBAS3,EURO,EQUITY PUT,BBASX322,2020-12-21,32.2,1
3438,BBDC4,EURO,EQUITY CALL,BBDCA432,2021-01-18,39.14,2
3444,BBDC4,AMER,EQUITY CALL,BBDCG140,2020-07-20,14.06,1
3455,BBDC4,AMER,EQUITY CALL,BBDCG171,2020-07-20,17.06,2
3457,BBDC4,AMER,EQUITY CALL,BBDCG176,2020-07-20,17.56,1
3459,BBDC4,AMER,EQUITY CALL,BBDCG181,2020-07-20,18.06,4
3461,BBDC4,EURO,EQUITY CALL,BBDCG190,2020-07-20,19.22,8
3462,BBDC4,AMER,EQUITY CALL,BBDCG191,2020-07-20,18.97,8
3464,BBDC4,EURO,EQUITY CALL,BBDCG197,2020-07-20,19.66,7
3465,BBDC4,AMER,EQUITY CALL,BBDCG199,2020-07-20,19.91,116
3468,BBDC4,EURO,EQUITY CALL,BBDCG201,2020-07-20,20.16,17
3470,BBDC4,AMER,EQUITY CALL,BBDCG208,2020-07-20,20.79,128
3471,BBDC4,EURO,EQUITY CALL,BBDCG21,2020-07-20,21.04,161
3472,BBDC4,AMER,EQUITY CALL,BBDCG214,2020-07-20,19.41,33
3473,BBDC4,AMER,EQUITY CALL,BBDCG218,2020-07-20,23.11,80
3474,BBDC4,EURO,EQUITY CALL,BBDCG219,2020-07-20,21.93,33
3475,BBDC4,EURO,EQUITY CALL,BBDCG226,2020-07-20,20.54,14
3476,BBDC4,AMER,EQUITY CALL,BBDCG227,2020-07-20,22.61,533
3477,BBDC4,EURO,EQUITY CALL,BBDCG228,2020-07-20,22.86,89
3478,BBDC4,EURO,EQUITY CALL,BBDCG234,2020-07-20,23.36,40
3479,BBDC4,EURO,EQUITY CALL,BBDCG235,2020-07-20,24.36,12
3480,BBDC4,AMER,EQUITY CALL,BBDCG236,2020-07-20,23.61,165
3481,BBDC4,EURO,EQUITY CALL,BBDCG238,2020-07-20,23.86,28
3482,BBDC4,AMER,EQUITY CALL,BBDCG239,2020-07-20,21.68,366
3483,BBDC4,AMER,EQUITY CALL,BBDCG241,2020-07-20,24.11,97
3484,BBDC4,EURO,EQUITY CALL,BBDCG242,2020-07-20,21.45,76
3485,BBDC4,EURO,EQUITY CALL,BBDCG246,2020-07-20,22.36,50
3486,BBDC4,AMER,EQUITY CALL,BBDCG247,2020-07-20,24.61,261
3487,BBDC4,EURO,EQUITY CALL,BBDCG249,2020-07-20,24.86,9
3488,BBDC4,AMER,EQUITY CALL,BBDCG251,2020-07-20,25.11,42
3489,BBDC4,EURO,EQUITY CALL,BBDCG254,2020-07-20,25.36,1
3490,BBDC4,EURO,EQUITY CALL,BBDCG256,2020-07-20,25.86,5
3491,BBDC4,AMER,EQUITY CALL,BBDCG260,2020-07-20,25.61,108
3492,BBDC4,AMER,EQUITY CALL,BBDCG261,2020-07-20,26.11,16
3493,BBDC4,EURO,EQUITY CALL,BBDCG263,2020-07-20,26.36,7
3494,BBDC4,AMER,EQUITY CALL,BBDCG266,2020-07-20,26.61,12
3495,BBDC4,EURO,EQUITY CALL,BBDCG268,2020-07-20,26.86,3
3496,BBDC4,AMER,EQUITY CALL,BBDCG271,2020-07-20,27.11,22
3497,BBDC4,AMER,EQUITY CALL,BBDCG285,2020-07-20,28.52,137
3499,BBDC4,EURO,EQUITY CALL,BBDCG332,2020-07-20,30.09,7
3500,BBDC4,EURO,EQUITY CALL,BBDCG335,2020-07-20,28.72,4
3501,BBDC4,EURO,EQUITY CALL,BBDCG340,2020-07-20,29.18,6
3502,BBDC4,EURO,EQUITY CALL,BBDCG347,2020-07-20,31.45,1
3503,BBDC4,AMER,EQUITY CALL,BBDCG350,2020-07-20,31.22,4
3504,BBDC4,AMER,EQUITY CALL,BBDCG351,2020-07-20,31.68,34
3506,BBDC4,AMER,EQUITY CALL,BBDCG360,2020-07-20,32.13,1
3509,BBDC4,EURO,EQUITY CALL,BBDCG382,2020-07-20,34.63,1
3511,BBDC4,EURO,EQUITY CALL,BBDCG397,2020-07-20,28.27,23
3513,BBDC4,EURO,EQUITY CALL,BBDCG422,2020-07-20,37.81,9
3514,BBDC4,EURO,EQUITY CALL,BBDCG450,2020-07-20,39.18,8
3515,BBDC4,EURO,EQUITY CALL,BBDCG453,2020-07-20,39.63,6
3521,BBDC3,AMER,EQUITY CALL,BBDCG589,2020-07-20,18.95,3
3522,BBDC3,AMER,EQUITY CALL,BBDCG594,2020-07-20,19.45,9
3525,BBDC3,AMER,EQUITY CALL,BBDCG609,2020-07-20,20.95,7
3527,BBDC3,AMER,EQUITY CALL,BBDCG619,2020-07-20,21.95,3
3529,BBDC3,AMER,EQUITY CALL,BBDCG629,2020-07-20,22.95,12
3534,BBDC3,AMER,EQUITY CALL,BBDCG649,2020-07-20,24.95,8
3536,BBDC3,AMER,EQUITY CALL,BBDCG659,2020-07-20,25.95,3
3554,BBDC4,AMER,EQUITY CALL,BBDCH173,2020-08-17,17.37,1
3562,BBDC4,EURO,EQUITY CALL,BBDCH191,2020-08-17,19.12,2
3564,BBDC4,EURO,EQUITY CALL,BBDCH196,2020-08-17,19.62,2
3565,BBDC4,EURO,EQUITY CALL,BBDCH197,2020-08-17,21.12,8
3566,BBDC4,AMER,EQUITY CALL,BBDCH198,2020-08-17,19.87,25
3567,BBDC4,EURO,EQUITY CALL,BBDCH20,2020-08-17,20.12,6
3568,BBDC3,AMER,EQUITY CALL,BBDCH200,2020-08-17,20.23,4
3570,BBDC4,EURO,EQUITY CALL,BBDCH203,2020-08-17,21.62,4
3571,BBDC4,AMER,EQUITY CALL,BBDCH204,2020-08-17,20.37,9
3572,BBDC4,AMER,EQUITY CALL,BBDCH208,2020-08-17,20.87,8
3573,BBDC3,AMER,EQUITY CALL,BBDCH210,2020-08-17,21.23,2
3574,BBDC4,AMER,EQUITY CALL,BBDCH213,2020-08-17,21.37,38
3575,BBDC4,AMER,EQUITY CALL,BBDCH218,2020-08-17,21.87,35
3576,BBDC3,AMER,EQUITY CALL,BBDCH220,2020-08-17,22.23,22
3577,BBDC4,EURO,EQUITY CALL,BBDCH221,2020-08-17,22.12,15
3578,BBDC4,EURO,EQUITY CALL,BBDCH222,2020-08-17,22.62,13
3579,BBDC4,AMER,EQUITY CALL,BBDCH223,2020-08-17,22.37,11
3580,BBDC4,AMER,EQUITY CALL,BBDCH228,2020-08-17,22.87,310
3581,BBDC3,AMER,EQUITY CALL,BBDCH230,2020-08-17,23.23,2
3582,BBDC4,EURO,EQUITY CALL,BBDCH231,2020-08-17,23.12,9
3583,BBDC4,AMER,EQUITY CALL,BBDCH232,2020-08-17,24.37,3
3584,BBDC4,AMER,EQUITY CALL,BBDCH233,2020-08-17,23.37,10
3585,BBDC4,EURO,EQUITY CALL,BBDCH236,2020-08-17,23.62,21
3586,BBDC3,AMER,EQUITY CALL,BBDCH24,2020-08-17,24.23,2
3587,BBDC4,AMER,EQUITY CALL,BBDCH240,2020-08-17,23.87,20
3588,BBDC4,EURO,EQUITY CALL,BBDCH241,2020-08-17,24.12,13
3590,BBDC4,EURO,EQUITY CALL,BBDCH246,2020-08-17,24.62,18
3591,BBDC4,AMER,EQUITY CALL,BBDCH250,2020-08-17,24.87,31
3595,BBDC4,EURO,EQUITY CALL,BBDCH261,2020-08-17,26.12,25
3599,BBDC3,AMER,EQUITY CALL,BBDCH315,2020-08-17,27.23,15
3600,BBDC4,AMER,EQUITY CALL,BBDCH317,2020-08-17,27.28,6
3602,BBDC4,AMER,EQUITY CALL,BBDCH328,2020-08-17,28.19,12
3603,BBDC4,EURO,EQUITY CALL,BBDCH339,2020-08-17,30.69,1
3604,BBDC4,EURO,EQUITY CALL,BBDCH340,2020-08-17,29.32,4
3608,BBDC4,AMER,EQUITY CALL,BBDCH361,2020-08-17,32.73,7
3626,BBDC3,AMER,EQUITY CALL,BBDCH48,2020-08-17,18.73,4
3627,BBDC3,AMER,EQUITY CALL,BBDCH49,2020-08-17,19.73,4
3649,BBDC4,EURO,EQUITY CALL,BBDCI204,2020-09-21,20.43,3
3651,BBDC4,EURO,EQUITY CALL,BBDCI209,2020-09-21,20.93,3
3653,BBDC4,AMER,EQUITY CALL,BBDCI211,2020-09-21,21.18,8
3654,BBDC4,EURO,EQUITY CALL,BBDCI214,2020-09-21,21.43,3
3657,BBDC4,EURO,EQUITY CALL,BBDCI219,2020-09-21,21.93,11
3659,BBDC4,AMER,EQUITY CALL,BBDCI221,2020-09-21,22.18,2
3662,BBDC4,AMER,EQUITY CALL,BBDCI226,2020-09-21,22.68,12
3665,BBDC4,AMER,EQUITY CALL,BBDCI231,2020-09-21,23.18,1
3670,BBDC4,EURO,EQUITY CALL,BBDCI240,2020-09-21,24.06,4
3673,BBDC4,AMER,EQUITY CALL,BBDCI248,2020-09-21,24.81,1
3683,BBDC4,AMER,EQUITY CALL,BBDCI266,2020-09-21,26.72,1
3766,BBDC4,EURO,EQUITY CALL,BBDCL201,2020-12-21,20.16,2
3769,BBDC4,AMER,EQUITY CALL,BBDCL209,2020-12-21,20.91,2
3791,BBDC4,EURO,EQUITY CALL,BBDCL263,2020-12-21,23.81,2
3828,BBDC4,EURO,EQUITY PUT,BBDCS113,2020-07-20,11.31,12
3830,BBDC4,EURO,EQUITY PUT,BBDCS145,2020-07-20,14.56,1
3831,BBDC4,EURO,EQUITY PUT,BBDCS150,2020-07-20,15.06,6
3833,BBDC3,EURO,EQUITY PUT,BBDCS154,2020-07-20,15.45,3
3835,BBDC4,EURO,EQUITY PUT,BBDCS158,2020-07-20,15.81,2
3836,BBDC4,EURO,EQUITY PUT,BBDCS161,2020-07-20,16.06,14
3839,BBDC4,EURO,EQUITY PUT,BBDCS166,2020-07-20,16.56,5
3840,BBDC4,EURO,EQUITY PUT,BBDCS171,2020-07-20,17.06,15
3841,BBDC4,EURO,EQUITY PUT,BBDCS173,2020-07-20,17.31,9
3842,BBDC4,EURO,EQUITY PUT,BBDCS176,2020-07-20,17.56,9
3843,BBDC4,EURO,EQUITY PUT,BBDCS180,2020-07-20,18.56,9
3844,BBDC4,EURO,EQUITY PUT,BBDCS181,2020-07-20,18.06,27
3845,BBDC4,EURO,EQUITY PUT,BBDCS184,2020-07-20,18.31,11
3846,BBDC4,EURO,EQUITY PUT,BBDCS190,2020-07-20,19.22,368
3847,BBDC4,EURO,EQUITY PUT,BBDCS191,2020-07-20,18.97,65
3848,BBDC4,EURO,EQUITY PUT,BBDCS196,2020-07-20,17.81,4
3849,BBDC4,EURO,EQUITY PUT,BBDCS197,2020-07-20,19.66,29
3850,BBDC4,EURO,EQUITY PUT,BBDCS199,2020-07-20,19.91,41
3853,BBDC4,EURO,EQUITY PUT,BBDCS201,2020-07-20,20.16,112
3854,BBDC4,EURO,EQUITY PUT,BBDCS206,2020-07-20,18.72,14
3855,BBDC4,EURO,EQUITY PUT,BBDCS208,2020-07-20,20.79,41
3856,BBDC4,EURO,EQUITY PUT,BBDCS21,2020-07-20,21.04,54
3857,BBDC4,EURO,EQUITY PUT,BBDCS214,2020-07-20,19.41,166
3859,BBDC4,EURO,EQUITY PUT,BBDCS219,2020-07-20,21.93,41
3860,BBDC4,EURO,EQUITY PUT,BBDCS226,2020-07-20,20.54,27
3861,BBDC4,EURO,EQUITY PUT,BBDCS227,2020-07-20,22.61,9
3862,BBDC4,EURO,EQUITY PUT,BBDCS228,2020-07-20,22.86,22
3866,BBDC4,EURO,EQUITY PUT,BBDCS238,2020-07-20,23.86,1
3867,BBDC4,EURO,EQUITY PUT,BBDCS239,2020-07-20,21.68,84
3869,BBDC4,EURO,EQUITY PUT,BBDCS242,2020-07-20,21.45,51
3870,BBDC4,EURO,EQUITY PUT,BBDCS246,2020-07-20,22.36,10
3884,BBDC4,EURO,EQUITY PUT,BBDCS332,2020-07-20,30.09,2
3905,BBDC3,EURO,EQUITY PUT,BBDCS584,2020-07-20,18.45,12
3926,BBDC4,EURO,EQUITY PUT,BBDCT141,2020-08-17,14.12,1
3934,BBDC4,EURO,EQUITY PUT,BBDCT160,2020-08-17,17.62,8
3935,BBDC4,EURO,EQUITY PUT,BBDCT163,2020-08-17,16.37,3
3936,BBDC4,EURO,EQUITY PUT,BBDCT168,2020-08-17,16.87,4
3940,BBDC4,EURO,EQUITY PUT,BBDCT178,2020-08-17,17.87,2
3941,BBDC3,EURO,EQUITY PUT,BBDCT18,2020-08-17,18.23,9
3942,BBDC4,EURO,EQUITY PUT,BBDCT181,2020-08-17,18.12,1
3943,BBDC4,EURO,EQUITY PUT,BBDCT183,2020-08-17,18.37,1
3944,BBDC4,EURO,EQUITY PUT,BBDCT186,2020-08-17,18.62,14
3945,BBDC4,EURO,EQUITY PUT,BBDCT188,2020-08-17,18.87,1
3946,BBDC3,EURO,EQUITY PUT,BBDCT19,2020-08-17,19.23,1
3947,BBDC4,EURO,EQUITY PUT,BBDCT191,2020-08-17,19.12,1
3948,BBDC4,EURO,EQUITY PUT,BBDCT194,2020-08-17,19.37,1
3950,BBDC4,EURO,EQUITY PUT,BBDCT197,2020-08-17,21.12,8
3951,BBDC4,EURO,EQUITY PUT,BBDCT198,2020-08-17,19.87,9
3952,BBDC4,EURO,EQUITY PUT,BBDCT20,2020-08-17,20.12,5
3954,BBDC4,EURO,EQUITY PUT,BBDCT201,2020-08-17,20.62,13
3955,BBDC4,EURO,EQUITY PUT,BBDCT203,2020-08-17,21.62,9
3956,BBDC4,EURO,EQUITY PUT,BBDCT204,2020-08-17,20.37,1
3957,BBDC4,EURO,EQUITY PUT,BBDCT208,2020-08-17,20.87,1
3960,BBDC4,EURO,EQUITY PUT,BBDCT218,2020-08-17,21.87,10
3962,BBDC4,EURO,EQUITY PUT,BBDCT221,2020-08-17,22.12,2
3965,BBDC4,EURO,EQUITY PUT,BBDCT228,2020-08-17,22.87,1
3969,BBDC4,EURO,EQUITY PUT,BBDCT233,2020-08-17,23.37,1
3970,BBDC4,EURO,EQUITY PUT,BBDCT236,2020-08-17,23.62,2
3980,BBDC4,EURO,EQUITY PUT,BBDCT261,2020-08-17,26.12,1
3988,BBDC4,EURO,EQUITY PUT,BBDCT339,2020-08-17,30.69,1
4011,BBDC3,EURO,EQUITY PUT,BBDCT48,2020-08-17,18.73,8
4013,BBDC4,EURO,EQUITY PUT,BBDCU104,2020-09-21,10.43,1
4023,BBDC3,EURO,EQUITY PUT,BBDCU185,2020-09-21,18.58,2
4025,BBDC4,EURO,EQUITY PUT,BBDCU189,2020-09-21,18.93,5
4026,BBDC3,EURO,EQUITY PUT,BBDCU190,2020-09-21,19.08,2
4027,BBDC4,EURO,EQUITY PUT,BBDCU191,2020-09-21,19.18,1
4038,BBDC4,EURO,EQUITY PUT,BBDCU211,2020-09-21,21.18,2
4039,BBDC4,EURO,EQUITY PUT,BBDCU214,2020-09-21,21.43,1
4204,BBSE3,AMER,EQUITY CALL,BBSEG27,2020-07-20,27.0,6
4205,BBSE3,AMER,EQUITY CALL,BBSEG28,2020-07-20,28.0,2
4206,BBSE3,AMER,EQUITY CALL,BBSEG29,2020-07-20,29.0,24
4207,BBSE3,AMER,EQUITY CALL,BBSEG30,2020-07-20,30.0,15
4208,BBSE3,AMER,EQUITY CALL,BBSEG305,2020-07-20,30.5,9
4209,BBSE3,AMER,EQUITY CALL,BBSEG310,2020-07-20,31.0,4
4210,BBSE3,AMER,EQUITY CALL,BBSEG315,2020-07-20,31.5,4
4211,BBSE3,AMER,EQUITY CALL,BBSEG320,2020-07-20,32.0,1
4212,BBSE3,AMER,EQUITY CALL,BBSEG325,2020-07-20,32.5,6
4216,BBSE3,AMER,EQUITY CALL,BBSEG345,2020-07-20,34.5,1
4227,BBSE3,AMER,EQUITY CALL,BBSEG58,2020-07-20,28.5,1
4228,BBSE3,AMER,EQUITY CALL,BBSEG59,2020-07-20,29.5,3
4238,BBSE3,AMER,EQUITY CALL,BBSEH27,2020-08-17,27.0,2
4239,BBSE3,AMER,EQUITY CALL,BBSEH280,2020-08-17,28.0,3
4240,BBSE3,AMER,EQUITY CALL,BBSEH290,2020-08-17,29.0,2
4242,BBSE3,AMER,EQUITY CALL,BBSEH295,2020-08-17,29.5,1
4244,BBSE3,AMER,EQUITY CALL,BBSEH300,2020-08-17,30.0,1
4298,BBSE3,EURO,EQUITY PUT,BBSES22,2020-07-20,22.0,1
4299,BBSE3,EURO,EQUITY PUT,BBSES23,2020-07-20,23.0,6
4301,BBSE3,EURO,EQUITY PUT,BBSES25,2020-07-20,25.0,2
4302,BBSE3,EURO,EQUITY PUT,BBSES26,2020-07-20,26.0,2
4303,BBSE3,EURO,EQUITY PUT,BBSES27,2020-07-20,27.0,1
4305,BBSE3,EURO,EQUITY PUT,BBSES29,2020-07-20,29.0,4
4306,BBSE3,EURO,EQUITY PUT,BBSES30,2020-07-20,30.0,2
4317,BBSE3,EURO,EQUITY PUT,BBSES49,2020-07-20,19.5,1
4325,BBSE3,EURO,EQUITY PUT,BBSES57,2020-07-20,27.5,1
4326,BBSE3,EURO,EQUITY PUT,BBSES58,2020-07-20,28.5,2
4335,BBSE3,EURO,EQUITY PUT,BBSET25,2020-08-17,25.0,1
4337,BBSE3,EURO,EQUITY PUT,BBSET27,2020-08-17,27.0,1
4338,BBSE3,EURO,EQUITY PUT,BBSET280,2020-08-17,28.0,3
4341,BBSE3,EURO,EQUITY PUT,BBSET295,2020-08-17,29.5,2
4369,BBSE3,EURO,EQUITY PUT,BBSET55,2020-08-17,25.5,1
4399,BEEF3,AMER,EQUITY CALL,BEEFG16,2020-07-20,16.0,5
5951,BOVA11,AMER,EQUITY CALL,BOVAC150,2022-03-18,150.0,4
5953,BOVA11,AMER,EQUITY CALL,BOVAG1,2020-07-20,100.0,385
5954,BOVA11,AMER,EQUITY CALL,BOVAG10,2020-07-20,110.0,103
5955,BOVA11,EURO,EQUITY CALL,BOVAG101,2020-07-20,101.0,23
5956,BOVA11,AMER,EQUITY CALL,BOVAG102,2020-07-20,102.0,104
5957,BOVA11,EURO,EQUITY CALL,BOVAG103,2020-07-20,103.0,4
5958,BOVA11,AMER,EQUITY CALL,BOVAG104,2020-07-20,104.0,111
5959,BOVA11,EURO,EQUITY CALL,BOVAG105,2020-07-20,105.0,38
5960,BOVA11,AMER,EQUITY CALL,BOVAG106,2020-07-20,106.0,91
5961,BOVA11,EURO,EQUITY CALL,BOVAG107,2020-07-20,107.0,6
5962,BOVA11,AMER,EQUITY CALL,BOVAG108,2020-07-20,108.0,51
5963,BOVA11,EURO,EQUITY CALL,BOVAG109,2020-07-20,109.0,6
5967,BOVA11,AMER,EQUITY CALL,BOVAG114,2020-07-20,114.0,2
5968,BOVA11,EURO,EQUITY CALL,BOVAG115,2020-07-20,115.0,41
6004,BOVA11,AMER,EQUITY CALL,BOVAG74,2020-07-20,74.0,1
6005,BOVA11,AMER,EQUITY CALL,BOVAG75,2020-07-20,75.0,1
6016,BOVA11,AMER,EQUITY CALL,BOVAG840,2020-07-20,84.0,14
6017,BOVA11,EURO,EQUITY CALL,BOVAG845,2020-07-20,84.5,63
6018,BOVA11,AMER,EQUITY CALL,BOVAG85,2020-07-20,85.0,2
6020,BOVA11,AMER,EQUITY CALL,BOVAG86,2020-07-20,86.0,1
6022,BOVA11,AMER,EQUITY CALL,BOVAG87,2020-07-20,87.0,2
6023,BOVA11,EURO,EQUITY CALL,BOVAG875,2020-07-20,87.5,54
6024,BOVA11,AMER,EQUITY CALL,BOVAG88,2020-07-20,88.0,1
6026,BOVA11,AMER,EQUITY CALL,BOVAG89,2020-07-20,89.0,2
6027,BOVA11,EURO,EQUITY CALL,BOVAG895,2020-07-20,89.5,1
6028,BOVA11,AMER,EQUITY CALL,BOVAG90,2020-07-20,90.0,24
6029,BOVA11,EURO,EQUITY CALL,BOVAG905,2020-07-20,90.5,1
6030,BOVA11,AMER,EQUITY CALL,BOVAG91,2020-07-20,91.0,42
6031,BOVA11,EURO,EQUITY CALL,BOVAG915,2020-07-20,91.5,7
6032,BOVA11,AMER,EQUITY CALL,BOVAG92,2020-07-20,92.0,189
6033,BOVA11,EURO,EQUITY CALL,BOVAG925,2020-07-20,92.5,7
6034,BOVA11,AMER,EQUITY CALL,BOVAG93,2020-07-20,93.0,49
6035,BOVA11,EURO,EQUITY CALL,BOVAG935,2020-07-20,93.5,10
6036,BOVA11,AMER,EQUITY CALL,BOVAG94,2020-07-20,94.0,79
6037,BOVA11,EURO,EQUITY CALL,BOVAG945,2020-07-20,94.5,8
6038,BOVA11,AMER,EQUITY CALL,BOVAG95,2020-07-20,95.0,60
6039,BOVA11,EURO,EQUITY CALL,BOVAG955,2020-07-20,95.5,2
6040,BOVA11,AMER,EQUITY CALL,BOVAG96,2020-07-20,96.0,64
6041,BOVA11,EURO,EQUITY CALL,BOVAG965,2020-07-20,96.5,16
6042,BOVA11,AMER,EQUITY CALL,BOVAG97,2020-07-20,97.0,27
6043,BOVA11,EURO,EQUITY CALL,BOVAG975,2020-07-20,97.5,7
6044,BOVA11,AMER,EQUITY CALL,BOVAG98,2020-07-20,98.0,50
6045,BOVA11,EURO,EQUITY CALL,BOVAG985,2020-07-20,98.5,7
6046,BOVA11,AMER,EQUITY CALL,BOVAG99,2020-07-20,99.0,223
6047,BOVA11,AMER,EQUITY CALL,BOVAH100,2020-08-17,100.0,29
6048,BOVA11,EURO,EQUITY CALL,BOVAH101,2020-08-17,105.0,14
6049,BOVA11,AMER,EQUITY CALL,BOVAH102,2020-08-17,102.0,3
6050,BOVA11,EURO,EQUITY CALL,BOVAH103,2020-08-17,111.0,1
6051,BOVA11,AMER,EQUITY CALL,BOVAH104,2020-08-17,104.0,9
6052,BOVA11,EURO,EQUITY CALL,BOVAH105,2020-08-17,107.0,4
6053,BOVA11,AMER,EQUITY CALL,BOVAH106,2020-08-17,106.0,9
6054,BOVA11,AMER,EQUITY CALL,BOVAH108,2020-08-17,108.0,3
6056,BOVA11,AMER,EQUITY CALL,BOVAH110,2020-08-17,110.0,31
6060,BOVA11,EURO,EQUITY CALL,BOVAH115,2020-08-17,115.0,21
6065,BOVA11,AMER,EQUITY CALL,BOVAH120,2020-08-17,120.0,7
6075,BOVA11,AMER,EQUITY CALL,BOVAH130,2020-08-17,130.0,1
6088,BOVA11,AMER,EQUITY CALL,BOVAH70,2020-08-17,70.0,1
6106,BOVA11,AMER,EQUITY CALL,BOVAH86,2020-08-17,86.0,10
6109,BOVA11,AMER,EQUITY CALL,BOVAH890,2020-08-17,89.0,54
6110,BOVA11,AMER,EQUITY CALL,BOVAH900,2020-08-17,90.0,12
6112,BOVA11,AMER,EQUITY CALL,BOVAH910,2020-08-17,91.0,14
6113,BOVA11,AMER,EQUITY CALL,BOVAH920,2020-08-17,92.0,4
6114,BOVA11,AMER,EQUITY CALL,BOVAH930,2020-08-17,93.0,5
6115,BOVA11,AMER,EQUITY CALL,BOVAH940,2020-08-17,94.0,4
6116,BOVA11,AMER,EQUITY CALL,BOVAH95,2020-08-17,95.0,4
6117,BOVA11,AMER,EQUITY CALL,BOVAH960,2020-08-17,96.0,1
6118,BOVA11,AMER,EQUITY CALL,BOVAH980,2020-08-17,98.0,12
6120,BOVA11,AMER,EQUITY CALL,BOVAI110,2020-09-21,110.0,8
6149,BOVA11,AMER,EQUITY CALL,BOVAJ116,2020-10-19,116.0,2
6168,BOVA11,AMER,EQUITY CALL,BOVAL120,2020-12-21,120.0,18
6228,BOVA11,EURO,EQUITY PUT,BOVAS130,2020-07-20,130.0,2
6229,BOVA11,EURO,EQUITY PUT,BOVAS440,2020-07-20,44.0,201
6230,BOVA11,EURO,EQUITY PUT,BOVAS46,2020-07-20,46.0,15
6231,BOVA11,EURO,EQUITY PUT,BOVAS480,2020-07-20,48.0,12
6232,BOVA11,EURO,EQUITY PUT,BOVAS50,2020-07-20,50.0,76
6233,BOVA11,EURO,EQUITY PUT,BOVAS520,2020-07-20,52.0,85
6234,BOVA11,EURO,EQUITY PUT,BOVAS54,2020-07-20,54.0,46
6235,BOVA11,EURO,EQUITY PUT,BOVAS560,2020-07-20,56.0,53
6236,BOVA11,EURO,EQUITY PUT,BOVAS58,2020-07-20,58.0,12
6237,BOVA11,EURO,EQUITY PUT,BOVAS60,2020-07-20,60.0,167
6238,BOVA11,EURO,EQUITY PUT,BOVAS61,2020-07-20,61.0,30
6239,BOVA11,EURO,EQUITY PUT,BOVAS62,2020-07-20,62.0,4
6240,BOVA11,EURO,EQUITY PUT,BOVAS63,2020-07-20,63.0,7
6241,BOVA11,EURO,EQUITY PUT,BOVAS64,2020-07-20,64.0,26
6242,BOVA11,EURO,EQUITY PUT,BOVAS65,2020-07-20,65.0,4
6243,BOVA11,EURO,EQUITY PUT,BOVAS66,2020-07-20,66.0,4
6244,BOVA11,EURO,EQUITY PUT,BOVAS67,2020-07-20,67.0,3
6245,BOVA11,EURO,EQUITY PUT,BOVAS68,2020-07-20,68.0,6
6246,BOVA11,EURO,EQUITY PUT,BOVAS69,2020-07-20,69.0,1
6247,BOVA11,EURO,EQUITY PUT,BOVAS70,2020-07-20,70.0,143
6248,BOVA11,EURO,EQUITY PUT,BOVAS730,2020-07-20,73.0,10
6249,BOVA11,EURO,EQUITY PUT,BOVAS74,2020-07-20,74.0,7
6250,BOVA11,EURO,EQUITY PUT,BOVAS75,2020-07-20,75.0,58
6251,BOVA11,EURO,EQUITY PUT,BOVAS760,2020-07-20,76.0,31
6252,BOVA11,EURO,EQUITY PUT,BOVAS770,2020-07-20,77.0,17
6253,BOVA11,EURO,EQUITY PUT,BOVAS780,2020-07-20,78.0,21
6254,BOVA11,EURO,EQUITY PUT,BOVAS785,2020-07-20,78.5,2
6255,BOVA11,EURO,EQUITY PUT,BOVAS79,2020-07-20,79.0,31
6256,BOVA11,EURO,EQUITY PUT,BOVAS80,2022-07-15,80.0,2
6257,BOVA11,EURO,EQUITY PUT,BOVAS800,2020-07-20,80.0,622
6258,BOVA11,EURO,EQUITY PUT,BOVAS810,2020-07-20,81.0,30
6259,BOVA11,EURO,EQUITY PUT,BOVAS820,2020-07-20,82.0,77
6260,BOVA11,EURO,EQUITY PUT,BOVAS830,2020-07-20,83.0,31
6261,BOVA11,EURO,EQUITY PUT,BOVAS840,2020-07-20,84.0,41
6262,BOVA11,EURO,EQUITY PUT,BOVAS845,2020-07-20,84.5,6
6263,BOVA11,EURO,EQUITY PUT,BOVAS85,2020-07-20,85.0,115
6264,BOVA11,EURO,EQUITY PUT,BOVAS855,2020-07-20,85.5,6
6265,BOVA11,EURO,EQUITY PUT,BOVAS86,2020-07-20,86.0,58
6266,BOVA11,EURO,EQUITY PUT,BOVAS865,2020-07-20,86.5,1
6267,BOVA11,EURO,EQUITY PUT,BOVAS87,2020-07-20,87.0,30
6268,BOVA11,EURO,EQUITY PUT,BOVAS875,2020-07-20,87.5,13
6269,BOVA11,EURO,EQUITY PUT,BOVAS88,2020-07-20,88.0,133
6270,BOVA11,EURO,EQUITY PUT,BOVAS885,2020-07-20,88.5,10
6271,BOVA11,EURO,EQUITY PUT,BOVAS89,2020-07-20,89.0,92
6272,BOVA11,EURO,EQUITY PUT,BOVAS895,2020-07-20,89.5,34
6273,BOVA11,EURO,EQUITY PUT,BOVAS90,2020-07-20,90.0,450
6274,BOVA11,EURO,EQUITY PUT,BOVAS905,2020-07-20,90.5,8
6275,BOVA11,EURO,EQUITY PUT,BOVAS91,2020-07-20,91.0,58
6276,BOVA11,EURO,EQUITY PUT,BOVAS915,2020-07-20,91.5,4
6277,BOVA11,EURO,EQUITY PUT,BOVAS92,2020-07-20,92.0,170
