,Ticker,Tipo,SgmtNm,TckrSymb,Validade,Strike,TradQty
1985,B3SA3,AMER,EQUITY CALL,B3SAG15,2020-07-20,45.56,1
2012,B3SA3,AMER,EQUITY CALL,B3SAG401,2020-07-20,39.56,1
2023,B3SA3,AMER,EQUITY CALL,B3SAG47,2020-07-20,47.06,2
2027,B3SA3,AMER,EQUITY CALL,B3SAG495,2020-07-20,49.56,3
2029,B3SA3,AMER,EQUITY CALL,B3SAG500,2020-07-20,50.06,2
2030,B3SA3,AMER,EQUITY CALL,B3SAG510,2020-07-20,51.06,2
2031,B3SA3,EURO,EQUITY CALL,B3SAG511,2020-07-20,50.56,1
2032,B3SA3,EURO,EQUITY CALL,B3SAG515,2020-07-20,51.56,1
2033,B3SA3,AMER,EQUITY CALL,B3SAG520,2020-07-20,52.06,25
2034,B3SA3,EURO,EQUITY CALL,B3SAG525,2020-07-20,52.56,4
2035,B3SA3,AMER,EQUITY CALL,B3SAG530,2020-07-20,53.06,29
2036,B3SA3,AMER,EQUITY CALL,B3SAG540,2020-07-20,54.06,23
2037,B3SA3,EURO,EQUITY CALL,B3SAG544,2020-07-20,54.56,5
2038,B3SA3,EURO,EQUITY CALL,B3SAG545,2020-07-20,53.56,21
2039,B3SA3,AMER,EQUITY CALL,B3SAG550,2020-07-20,55.06,61
2040,B3SA3,EURO,EQUITY CALL,B3SAG555,2020-07-20,55.56,7
2041,B3SA3,AMER,EQUITY CALL,B3SAG560,2020-07-20,56.06,174
2042,B3SA3,EURO,EQUITY CALL,B3SAG565,2020-07-20,56.56,1
2043,B3SA3,AMER,EQUITY CALL,B3SAG570,2020-07-20,57.06,29
2044,B3SA3,EURO,EQUITY CALL,B3SAG575,2020-07-20,57.56,11
2045,B3SA3,AMER,EQUITY CALL,B3SAG580,2020-07-20,58.06,13
2046,B3SA3,AMER,EQUITY CALL,B3SAG590,2020-07-20,59.06,14
2048,B3SA3,AMER,EQUITY CALL,B3SAG600,2020-07-20,60.06,7
2049,B3SA3,AMER,EQUITY CALL,B3SAG610,2020-07-20,61.06,8
2052,B3SA3,EURO,EQUITY CALL,B3SAG9,2020-07-20,43.81,1
2092,B3SA3,AMER,EQUITY CALL,B3SAH39,2020-08-17,39.39,1
2113,B3SA3,EURO,EQUITY CALL,B3SAH461,2020-08-17,46.14,1
2119,B3SA3,AMER,EQUITY CALL,B3SAH488,2020-08-17,48.89,1
2124,B3SA3,AMER,EQUITY CALL,B3SAH510,2020-08-17,51.39,1
2126,B3SA3,EURO,EQUITY CALL,B3SAH518,2020-08-17,51.89,2
2128,B3SA3,AMER,EQUITY CALL,B3SAH53,2020-08-17,52.39,4
2129,B3SA3,AMER,EQUITY CALL,B3SAH533,2020-08-17,53.39,6
2131,B3SA3,AMER,EQUITY CALL,B3SAH543,2020-08-17,54.39,3
2132,B3SA3,EURO,EQUITY CALL,B3SAH548,2020-08-17,54.89,2
2133,B3SA3,AMER,EQUITY CALL,B3SAH553,2020-08-17,55.39,5
2134,B3SA3,AMER,EQUITY CALL,B3SAH563,2020-08-17,56.39,28
2137,B3SA3,AMER,EQUITY CALL,B3SAH573,2020-08-17,57.39,8
2139,B3SA3,EURO,EQUITY CALL,B3SAH588,2020-08-17,58.89,1
2142,B3SA3,EURO,EQUITY CALL,B3SAH608,2020-08-17,60.89,1
2143,B3SA3,EURO,EQUITY CALL,B3SAH618,2020-08-17,61.89,2
2250,B3SA3,EURO,EQUITY CALL,B3SAI605,2020-09-21,60.5,3
2306,B3SA3,EURO,EQUITY PUT,B3SAS14,2020-07-20,44.56,23
2307,B3SA3,EURO,EQUITY PUT,B3SAS15,2020-07-20,45.56,4
2308,B3SA3,EURO,EQUITY PUT,B3SAS16,2020-07-20,46.56,10
2309,B3SA3,EURO,EQUITY PUT,B3SAS17,2020-07-20,47.56,7
2311,B3SA3,EURO,EQUITY PUT,B3SAS244,2020-07-20,23.81,10
2314,B3SA3,EURO,EQUITY PUT,B3SAS300,2020-07-20,30.06,1
2324,B3SA3,EURO,EQUITY PUT,B3SAS35,2020-07-20,35.06,2
2341,B3SA3,EURO,EQUITY PUT,B3SAS45,2020-07-20,45.06,3
2343,B3SA3,EURO,EQUITY PUT,B3SAS466,2020-07-20,46.06,3
2345,B3SA3,EURO,EQUITY PUT,B3SAS47,2020-07-20,47.06,3
2346,B3SA3,EURO,EQUITY PUT,B3SAS48,2020-07-20,48.06,4
2347,B3SA3,EURO,EQUITY PUT,B3SAS485,2020-07-20,48.56,11
2348,B3SA3,EURO,EQUITY PUT,B3SAS490,2020-07-20,49.06,1
2349,B3SA3,EURO,EQUITY PUT,B3SAS495,2020-07-20,49.56,6
2351,B3SA3,EURO,EQUITY PUT,B3SAS500,2020-07-20,50.06,7
2352,B3SA3,EURO,EQUITY PUT,B3SAS510,2020-07-20,51.06,8
2353,B3SA3,EURO,EQUITY PUT,B3SAS511,2020-07-20,50.56,6
2354,B3SA3,EURO,EQUITY PUT,B3SAS515,2020-07-20,51.56,5
2355,B3SA3,EURO,EQUITY PUT,B3SAS520,2020-07-20,52.06,5
2356,B3SA3,EURO,EQUITY PUT,B3SAS525,2020-07-20,52.56,15
2357,B3SA3,EURO,EQUITY PUT,B3SAS530,2020-07-20,53.06,19
2358,B3SA3,EURO,EQUITY PUT,B3SAS540,2020-07-20,54.06,7
2359,B3SA3,EURO,EQUITY PUT,B3SAS544,2020-07-20,54.56,7
2360,B3SA3,EURO,EQUITY PUT,B3SAS545,2020-07-20,53.56,60
2361,B3SA3,EURO,EQUITY PUT,B3SAS550,2020-07-20,55.06,5
2362,B3SA3,EURO,EQUITY PUT,B3SAS555,2020-07-20,55.56,1
2363,B3SA3,EURO,EQUITY PUT,B3SAS560,2020-07-20,56.06,4
2374,B3SA3,EURO,EQUITY PUT,B3SAS9,2020-07-20,43.81,1
2418,B3SA3,EURO,EQUITY PUT,B3SAT40,2020-08-17,40.39,1
2430,B3SA3,EURO,EQUITY PUT,B3SAT438,2020-08-17,43.89,25
2431,B3SA3,EURO,EQUITY PUT,B3SAT443,2020-08-17,44.39,2
2432,B3SA3,EURO,EQUITY PUT,B3SAT448,2020-08-17,44.89,3
2434,B3SA3,EURO,EQUITY PUT,B3SAT460,2020-08-17,45.39,6
2435,B3SA3,EURO,EQUITY PUT,B3SAT461,2020-08-17,46.14,1
2436,B3SA3,EURO,EQUITY PUT,B3SAT463,2020-08-17,46.39,2
2437,B3SA3,EURO,EQUITY PUT,B3SAT473,2020-08-17,47.39,3
2438,B3SA3,EURO,EQUITY PUT,B3SAT475,2020-08-17,46.89,1
2439,B3SA3,EURO,EQUITY PUT,B3SAT478,2020-08-17,47.89,2
2441,B3SA3,EURO,EQUITY PUT,B3SAT488,2020-08-17,48.89,7
2442,B3SA3,EURO,EQUITY PUT,B3SAT493,2020-08-17,49.39,2
2443,B3SA3,EURO,EQUITY PUT,B3SAT498,2020-08-17,49.89,6
2447,B3SA3,EURO,EQUITY PUT,B3SAT515,2020-08-17,50.89,1
2448,B3SA3,EURO,EQUITY PUT,B3SAT518,2020-08-17,51.89,6
2449,B3SA3,EURO,EQUITY PUT,B3SAT528,2020-08-17,52.89,1
2452,B3SA3,EURO,EQUITY PUT,B3SAT538,2020-08-17,53.89,4
2454,B3SA3,EURO,EQUITY PUT,B3SAT548,2020-08-17,54.89,3
2554,B3SA3,EURO,EQUITY PUT,B3SAU495,2020-09-21,49.5,1
2562,B3SA3,EURO,EQUITY PUT,B3SAU535,2020-09-21,53.5,1
2563,B3SA3,EURO,EQUITY PUT,B3SAU540,2020-09-21,54.0,1
2596,B3SA3,EURO,EQUITY PUT,B3SAX351,2020-12-21,35.1,1
2610,B3SA3,EURO,EQUITY PUT,B3SAX507,2020-12-21,50.1,1
2666,BBAS3,AMER,EQUITY CALL,BBASG1,2020-07-20,31.56,6
2676,BBAS3,AMER,EQUITY CALL,BBASG26,2020-07-20,26.06,3
2679,BBAS3,AMER,EQUITY CALL,BBASG280,2020-07-20,28.06,3
2684,BBAS3,EURO,EQUITY CALL,BBASG298,2020-07-20,29.81,5
2685,BBAS3,AMER,EQUITY CALL,BBASG30,2020-07-20,30.06,9
2686,BBAS3,EURO,EQUITY CALL,BBASG303,2020-07-20,30.31,1
2688,BBAS3,EURO,EQUITY CALL,BBASG308,2020-07-20,30.81,3
2689,BBAS3,AMER,EQUITY CALL,BBASG310,2020-07-20,31.06,7
2690,BBAS3,EURO,EQUITY CALL,BBASG313,2020-07-20,31.31,25
2691,BBAS3,EURO,EQUITY CALL,BBASG318,2020-07-20,31.81,2
2692,BBAS3,AMER,EQUITY CALL,BBASG32,2020-07-20,32.06,86
2693,BBAS3,EURO,EQUITY CALL,BBASG323,2020-07-20,32.31,17
2694,BBAS3,AMER,EQUITY CALL,BBASG325,2020-07-20,32.56,34
2695,BBAS3,EURO,EQUITY CALL,BBASG328,2020-07-20,32.81,31
2696,BBAS3,AMER,EQUITY CALL,BBASG330,2020-07-20,33.06,48
2697,BBAS3,EURO,EQUITY CALL,BBASG333,2020-07-20,33.31,27
2698,BBAS3,AMER,EQUITY CALL,BBASG335,2020-07-20,33.56,32
2699,BBAS3,EURO,EQUITY CALL,BBASG338,2020-07-20,33.81,13
2700,BBAS3,AMER,EQUITY CALL,BBASG340,2020-07-20,34.06,109
2701,BBAS3,EURO,EQUITY CALL,BBASG343,2020-07-20,34.31,31
2702,BBAS3,AMER,EQUITY CALL,BBASG345,2020-07-20,34.56,40
2703,BBAS3,EURO,EQUITY CALL,BBASG348,2020-07-20,34.81,7
