,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1653,6/29/2020,ABEVS10,BRABEV3S07D1,EQUITY PUT,"0,01","0,02","0,01","0,01",,"0,01",7,23300,10.08,ABEV3,7/20/2020,EURO,14.31
1654,6/29/2020,ABEVS11,BRABEV3S0791,EQUITY PUT,"0,03","0,03","0,03","0,03",,"0,01",3,1300,11.08,ABEV3,7/20/2020,EURO,14.31
1655,6/29/2020,ABEVS120,BRABEV3S0726,EQUITY PUT,"0,06","0,09","0,06","0,06",,"0,06",20,52900,12.08,ABEV3,7/20/2020,EURO,14.31
1656,6/29/2020,ABEVS130,BRABEV3S0767,EQUITY PUT,"0,16","0,25","0,18","0,19",,"0,18",50,151700,13.08,ABEV3,7/20/2020,EURO,14.31
1657,6/29/2020,ABEVS14,BRABEV3S07E9,EQUITY PUT,"0,42","0,64","0,47","0,49",,"0,48",64,175900,14.08,ABEV3,7/20/2020,EURO,14.31
1658,6/29/2020,ABEVS150,BRABEV3S07I0,EQUITY PUT,"1,29","1,33","1,31","1,29",,"1,06",3,3000,15.08,ABEV3,7/20/2020,EURO,14.31
1661,6/29/2020,ABEVS160,BRABEV3S06F8,EQUITY PUT,"1,34","1,38","1,36","1,38",,"1,45",3,3000,15.58,ABEV3,7/20/2020,EURO,14.31
1671,6/29/2020,ABEVS40,BRABEV3S0775,EQUITY PUT,"0,02","0,03","0,02","0,02",,"0,01",7,13200,10.58,ABEV3,7/20/2020,EURO,14.31
1672,6/29/2020,ABEVS41,BRABEV3S07B5,EQUITY PUT,"0,04","0,08","0,04","0,04",,"0,03",8,6200,11.58,ABEV3,7/20/2020,EURO,14.31
1673,6/29/2020,ABEVS42,BRABEV3S0783,EQUITY PUT,"0,09","0,16","0,12","0,1",,"0,1",40,20100,12.58,ABEV3,7/20/2020,EURO,14.31
1674,6/29/2020,ABEVS43,BRABEV3S07C3,EQUITY PUT,"0,28","0,39","0,3","0,29",,"0,3",25,27300,13.58,ABEV3,7/20/2020,EURO,14.31
1675,6/29/2020,ABEVS44,BRABEV3S07A7,EQUITY PUT,"0,68","0,96","0,73","0,76",,"0,74",14,32500,14.58,ABEV3,7/20/2020,EURO,14.31
1677,6/29/2020,ABEVS933,BRABEV3S07H2,EQUITY PUT,"0,01","0,01","0,01","0,01",,"0,01",1,100,9.33,ABEV3,7/20/2020,EURO,14.31
1679,6/29/2020,ABEVS96,BRABEV3S07F6,EQUITY PUT,"0,01","0,02","0,01","0,01",,"0,01",3,2200,9.73,ABEV3,7/20/2020,EURO,14.31
