1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1545,1
1546,1
1547,1
1548,1
1551,1
1552,1
1553,1
1554,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1573,1
1575,1
1579,1
1580,1
1581,1
1582,1
1594,1
1601,1
1608,1
1612,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1661,1
1671,1
1672,1
1673,1
1674,1
1675,1
1677,1
1679,1
1680,1
1682,1
1683,1
1684,1
1700,1
1701,1
1702,1
1715,1
1716,1
1866,0
1867,0
1868,0
1869,0
1870,0
1874,0
1875,0
1877,0
1884,0
1885,0
1886,0
1921,0
1924,0
1928,0
1929,0
1930,0
1936,0
1939,0
1985,1
2012,1
2023,1
2027,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2048,1
2049,1
2052,1
2092,1
2113,1
2119,1
2124,1
2126,1
2128,1
2129,1
2131,1
2132,1
2133,1
2134,1
2137,1
2139,1
2142,1
2143,1
2250,1
2306,1
2307,1
2308,1
2309,1
2311,1
2314,1
2324,1
2341,1
2343,1
2345,1
2346,1
2347,1
2348,1
2349,1
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2374,1
2418,1
2430,1
2431,1
2432,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2441,1
2442,1
2443,1
2447,1
2448,1
2449,1
2452,1
2454,1
2554,1
2562,1
2563,1
2596,1
2610,1
2666,1
2676,1
2679,1
2684,1
2685,1
2686,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,1
2707,1
2708,1
2709,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2718,1
2720,1
2722,1
2723,1
2724,1
2726,1
2727,1
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2740,1
2744,1
2748,1
2756,1
2760,1
2763,1
2766,1
2772,1
2780,1
2782,1
2783,1
2785,1
2786,1
2787,1
2788,1
2790,1
2791,1
2792,1
