,Ticker,TckrSymb,SgmtNm,Validade,Tipo,Days,Strike,Ticker1,TckrSymb1
9,BBAS3,BBASH312,EQUITY CALL,2020-08-17,AMER,26,31.28,=@BULLDDE|MOFV!BBAS3,=@BULLDDE|MOFC!BBASH312
11,BBAS3,BBASH320,EQUITY CALL,2020-08-17,EURO,26,32.03,=@BULLDDE|MOFV!BBAS3,=@BULLDDE|MOFC!BBASH320
13,BBAS3,BBASH330,EQUITY CALL,2020-08-17,EURO,26,33.03,=@BULLDDE|MOFV!BBAS3,=@BULLDDE|MOFC!BBASH330
17,BBDC4,BBDCH208,EQUITY CALL,2020-08-17,AMER,26,20.85,=@BULLDDE|MOFV!BBDC4,=@BULLDDE|MOFC!BBDCH208
18,BBDC4,BBDCH213,EQUITY CALL,2020-08-17,AMER,26,21.35,=@BULLDDE|MOFV!BBDC4,=@BULLDDE|MOFC!BBDCH213
20,BOVA11,BOVAH890,EQUITY CALL,2020-08-17,AMER,26,89.0,=@BULLDDE|MOFV!BOVA11,=@BULLDDE|MOFC!BOVAH890
22,BOVA11,BOVAH910,EQUITY CALL,2020-08-17,AMER,26,91.0,=@BULLDDE|MOFV!BOVA11,=@BULLDDE|MOFC!BOVAH910
25,BRML3,BRMLH105,EQUITY CALL,2020-08-17,AMER,26,10.5,=@BULLDDE|MOFV!BRML3,=@BULLDDE|MOFC!BRMLH105
28,CIEL3,CIELH470,EQUITY CALL,2020-08-17,AMER,26,4.7,=@BULLDDE|MOFV!CIEL3,=@BULLDDE|MOFC!CIELH470
29,CIEL3,CIELH480,EQUITY CALL,2020-08-17,AMER,26,4.8,=@BULLDDE|MOFV!CIEL3,=@BULLDDE|MOFC!CIELH480
30,CIEL3,CIELH490,EQUITY CALL,2020-08-17,AMER,26,4.9,=@BULLDDE|MOFV!CIEL3,=@BULLDDE|MOFC!CIELH490
31,CIEL3,CIELI480,EQUITY CALL,2020-09-21,AMER,61,4.8,=@BULLDDE|MOFV!CIEL3,=@BULLDDE|MOFC!CIELI480
33,COGN3,COGNH820,EQUITY CALL,2020-08-17,AMER,26,8.2,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNH820
34,COGN3,COGNH850,EQUITY CALL,2020-08-17,EURO,26,8.5,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNH850
35,COGN3,COGNH860,EQUITY CALL,2020-08-17,AMER,26,8.6,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNH860
40,IRBR3,IRBRH850,EQUITY CALL,2020-08-17,EURO,26,7.76,=@BULLDDE|MOFV!IRBR3,=@BULLDDE|MOFC!IRBRH850
43,ITSA4,ITSAH958,EQUITY CALL,2020-08-17,AMER,26,9.56,=@BULLDDE|MOFV!ITSA4,=@BULLDDE|MOFC!ITSAH958
47,ITUB4,ITUBH251,EQUITY CALL,2020-08-17,AMER,26,25.14,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBH251
48,ITUB4,ITUBH254,EQUITY CALL,2020-08-17,EURO,26,25.39,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBH254
49,ITUB4,ITUBH256,EQUITY CALL,2020-08-17,AMER,26,25.64,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBH256
52,MRFG3,MRFGH135,EQUITY CALL,2020-08-17,AMER,26,13.5,=@BULLDDE|MOFV!MRFG3,=@BULLDDE|MOFC!MRFGH135
54,MRFG3,MRFGH14,EQUITY CALL,2020-08-17,AMER,26,14.0,=@BULLDDE|MOFV!MRFG3,=@BULLDDE|MOFC!MRFGH14
55,MRFG3,MRFGI135,EQUITY CALL,2020-09-21,AMER,61,13.5,=@BULLDDE|MOFV!MRFG3,=@BULLDDE|MOFC!MRFGI135
56,MRFG3,MRFGI140,EQUITY CALL,2020-09-21,AMER,61,14.0,=@BULLDDE|MOFV!MRFG3,=@BULLDDE|MOFC!MRFGI140
57,PETR4,PETRH182,EQUITY CALL,2020-08-17,EURO,26,21.28,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH182
58,PETR4,PETRH209,EQUITY CALL,2020-08-17,AMER,26,21.03,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH209
59,PETR4,PETRH213,EQUITY CALL,2020-08-17,EURO,26,20.78,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH213
60,PETR4,PETRH22,EQUITY CALL,2020-08-17,AMER,26,20.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH22
61,PETR4,PETRH220,EQUITY CALL,2020-08-17,AMER,26,21.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRH220
63,PETR4,PETRI205,EQUITY CALL,2020-09-21,AMER,61,20.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI205
64,PETR4,PETRI210,EQUITY CALL,2020-09-21,AMER,61,21.03,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI210
65,PETR4,PETRI221,EQUITY CALL,2020-09-21,AMER,61,21.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRI221
68,SUZB3,SUZBH37,EQUITY CALL,2020-08-17,AMER,26,37.0,=@BULLDDE|MOFV!SUZB3,=@BULLDDE|MOFC!SUZBH37
71,VALE3,VALEH538,EQUITY CALL,2020-08-17,AMER,26,53.8,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH538
72,VALE3,VALEH543,EQUITY CALL,2020-08-17,EURO,26,54.3,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH543
73,VALE3,VALEH546,EQUITY CALL,2020-08-17,EURO,26,53.3,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH546
74,VALE3,VALEH548,EQUITY CALL,2020-08-17,AMER,26,54.8,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH548
75,VALE3,VALEH565,EQUITY CALL,2020-08-17,EURO,26,55.3,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALEH565
80,VVAR3,VVARH182,EQUITY CALL,2020-08-17,EURO,26,18.25,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARH182
81,VVAR3,VVARH185,EQUITY CALL,2020-08-17,AMER,26,18.5,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARH185
82,VVAR3,VVARH190,EQUITY CALL,2020-08-17,AMER,26,19.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARH190
83,VVAR3,VVARI185,EQUITY CALL,2020-09-21,AMER,61,18.5,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARI185
84,VVAR3,VVARI190,EQUITY CALL,2020-09-21,AMER,61,19.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVARI190
88,CIEL3,CIELT620,EQUITY PUT,2020-08-17,EURO,26,6.2,=@BULLDDE|MOFV!CIEL3,=@BULLDDE|MOFC!CIELT620
89,COGN3,COGNT105,EQUITY PUT,2020-08-17,EURO,26,10.5,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNT105
90,COGN3,COGNT110,EQUITY PUT,2020-08-17,EURO,26,11.05,=@BULLDDE|MOFV!COGN3,=@BULLDDE|MOFC!COGNT110
93,IRBR3,IRBRT105,EQUITY PUT,2020-08-17,EURO,26,9.76,=@BULLDDE|MOFV!IRBR3,=@BULLDDE|MOFC!IRBRT105
94,ITSA4,ITSAT115,EQUITY PUT,2020-08-17,EURO,26,11.66,=@BULLDDE|MOFV!ITSA4,=@BULLDDE|MOFC!ITSAT115
96,ITUB4,ITUBT332,EQUITY PUT,2020-08-17,EURO,26,31.39,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBT332
97,ITUB4,ITUBU311,EQUITY PUT,2020-09-21,EURO,61,31.13,=@BULLDDE|MOFV!ITUB4,=@BULLDDE|MOFC!ITUBU311
99,PETR4,PETRT231,EQUITY PUT,2020-08-17,EURO,26,25.78,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT231
100,PETR4,PETRT246,EQUITY PUT,2020-08-17,EURO,26,26.03,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT246
102,PETR4,PETRT262,EQUITY PUT,2020-08-17,EURO,26,25.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT262
104,PETR4,PETRT277,EQUITY PUT,2020-08-17,EURO,26,27.03,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT277
106,PETR4,PETRT28,EQUITY PUT,2020-08-17,EURO,26,26.53,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRT28
107,PETR4,PETRU239,EQUITY PUT,2020-09-21,EURO,61,25.78,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRU239
111,PETR4,PETRU278,EQUITY PUT,2020-09-21,EURO,61,27.28,=@BULLDDE|MOFV!PETR4,=@BULLDDE|MOFC!PETRU278
114,VALE3,VALET663,EQUITY PUT,2020-08-17,EURO,26,66.3,=@BULLDDE|MOFV!VALE3,=@BULLDDE|MOFC!VALET663
121,VVAR3,VVART230,EQUITY PUT,2020-08-17,EURO,26,23.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVART230
122,VVAR3,VVART240,EQUITY PUT,2020-08-17,EURO,26,24.0,=@BULLDDE|MOFV!VVAR3,=@BULLDDE|MOFC!VVART240
