RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,ABEVT12,BRABEV3T06W1,EQUITY PUT,"0,07","0,13","0,11","0,1",,"0,12",21,133200,12.08,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT13,BRABEV3T0709,EQUITY PUT,"0,19","0,3","0,25","0,27",,"0,3",48,70100,13.08,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT14,BRABEV3T06Y7,EQUITY PUT,"0,43","0,64","0,54","0,61",,"0,64",113,229600,14.08,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT15,BRABEV3T06L4,EQUITY PUT,"0,92","1,15","1,06","1,15",,"1,19",73,78800,15.08,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT153,BRABEV3T0717,EQUITY PUT,"1,15","1,21","1,18","1,21",,"1,36",6,2200,15.33,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT16,BRABEV3T06V3,EQUITY PUT,"1,61","1,61","1,61","1,61",,"1,92",2,11000,16.08,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT160,BRABEV3T0725,EQUITY PUT,"3,35","3,35","3,35","3,35",,"3,17",1,5100,16.0,ABEV3,2022-08-19,EURO,0.0
2020-07-23,ABEVT42,BRABEV3T06T7,EQUITY PUT,"0,14","0,2","0,16","0,2",,"0,19",14,119800,12.58,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT43,BRABEV3T06U5,EQUITY PUT,"0,29","0,43","0,39","0,41",,"0,44",52,81200,13.58,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT44,BRABEV3T06M2,EQUITY PUT,"0,65","0,9","0,76","0,86",,"0,89",49,136800,14.58,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVT92,BRABEV3T06N0,EQUITY PUT,"0,02","0,02","0,02","0,02",,"0,01",1,100,9.33,ABEV3,2020-08-17,EURO,0.0
2020-07-23,ABEVU125,BRABEV3U0714,EQUITY PUT,"0,28","0,33","0,3","0,33",,"0,32",9,4100,12.58,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVU130,BRABEV3U06V1,EQUITY PUT,"0,41","0,41","0,41","0,41",,"0,45",1,100,13.08,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVU135,BRABEV3U06Q1,EQUITY PUT,"0,53","0,59","0,58","0,59",,"0,62",10,28400,13.58,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVU140,BRABEV3U06R9,EQUITY PUT,"0,69","0,81","0,77","0,8",,"0,82",45,226600,14.08,ABEV3,2020-09-21,EURO,0.0
