Asst,OptnTp,TradgEndDt,TckrSymb,OptnStyle,ExrcPric,,9/21/2020,8/17/2020,7/20/2020,Asst,Cotação,7/20/2020,8/17/2020,9/21/2020,
ABEV3,Call,9/21/2020,ABEVI165,AMER,16.58,,,,,HBOR3,,,,,
ABEV3,Call,9/21/2020,ABEVI167,EURO,16.33,,,,,HGTX3,,,,,
ABEV3,Call,9/21/2020,ABEVI168,EURO,16.83,,,,,HYPE3,,,,,
ABEV3,Call,9/21/2020,ABEVI170,AMER,17.08,,,,,IGTA3,,,,,
ABEV3,Call,9/21/2020,ABEVI175,AMER,17.58,,,,,IRBR3,,,,,
ABEV3,Call,9/21/2020,ABEVI185,AMER,18.58,,,,,ITSA4,,,,,
ABEV3,Call,9/21/2020,ABEVI187,EURO,18.33,,,,,ITUB4,,,,,
ABEV3,Call,9/21/2020,ABEVI203,EURO,20.33,,,,,IVVB11,,,,,
ABEV3,Call,9/21/2020,ABEVI212,EURO,20.83,,,,,JBSS3,,,,,
ABEV3,Call,9/21/2020,ABEVI215,AMER,21.58,,,,,JHSF3,,,,,
ABEV3,Call,9/21/2020,ABEVI963,AMER,9.63,,,,,KLBN11,,,,,
ABEV3,Call,9/21/2020,ABEVI973,AMER,9.73,,,,,LAME3,,,,,
ABEV3,Call,10/19/2020,ABEVJ150,AMER,15.08,,,,,LAME4,,,,,
ABEV3,Call,10/19/2020,ABEVJ168,EURO,16.83,,,,,LCAM3,,,,,
ABEV3,Call,10/19/2020,ABEVJ17,AMER,17.08,,,,,LIGT3,,,,,
ABEV3,Call,10/19/2020,ABEVJ170,AMER,16.58,,,,,LINX3,,,,,
ABEV3,Call,10/19/2020,ABEVJ173,EURO,17.33,,,,,LOGN3,,,,,
ABEV3,Call,10/19/2020,ABEVJ188,EURO,18.83,,,,,LREN3,,,,,
ABEV3,Call,10/19/2020,ABEVJ190,AMER,18.58,,,,,MDIA3,,,,,
ABEV3,Call,10/19/2020,ABEVJ198,AMER,19.08,,,,,MGLU3,,,,,
ABEV3,Call,10/19/2020,ABEVJ203,EURO,20.33,,,,,MOVI3,,,,,
ABEV3,Call,10/19/2020,ABEVJ210,AMER,21.08,,,,,MRFG3,,,,,
ABEV3,Call,10/19/2020,ABEVJ212,EURO,20.83,,,,,MRVE3,,,,,
ABEV3,Call,10/19/2020,ABEVJ213,EURO,21.33,,,,,MULT3,,,,,
ABEV3,Call,10/19/2020,ABEVJ215,AMER,21.58,,,,,MYPK3,,,,,
ABEV3,Call,10/19/2020,ABEVJ218,EURO,21.83,,,,,NEOE3,,,,,
ABEV3,Call,11/16/2020,ABEVK168,EURO,16.83,,,,,NTCO3,,,,,
ABEV3,Call,11/16/2020,ABEVK17,AMER,17.08,,,,,ODPV3,,,,,
ABEV3,Call,11/16/2020,ABEVK170,AMER,16.58,,,,,PCAR3,,,,,
ABEV3,Call,11/16/2020,ABEVK188,EURO,18.83,,,,,PETR3,,,,,
ABEV3,Call,11/16/2020,ABEVK190,AMER,18.58,,,,,PETR4,,,,,
ABEV3,Call,11/16/2020,ABEVK215,AMER,21.08,,,,,PIBB11,,,,,
ABEV3,Call,11/16/2020,ABEVK216,AMER,21.58,,,,,POMO4,,,,,
ABEV3,Call,11/16/2020,ABEVK217,EURO,21.33,,,,,PRIO3,,,,,
ABEV3,Call,11/16/2020,ABEVK218,EURO,21.83,,,,,PSSA3,,,,,
ABEV3,Call,11/16/2020,ABEVK220,AMER,22.08,,,,,QUAL3,,,,,
ABEV3,Call,12/21/2020,ABEVL140,AMER,14.08,,,,,RADL3,,,,,
ABEV3,Call,12/21/2020,ABEVL145,AMER,14.58,,,,,RAIL3,,,,,
ABEV3,Call,12/21/2020,ABEVL163,EURO,16.33,,,,,RAPT4,,,,,
ABEV3,Call,12/21/2020,ABEVL168,EURO,16.83,,,,,RENT3,,,,,
ABEV3,Call,12/21/2020,ABEVL17,AMER,17.08,,,,,SANB11,,,,,
ABEV3,Call,12/21/2020,ABEVL170,AMER,16.58,,,,,SAPR11,,,,,
ABEV3,Call,12/21/2020,ABEVL188,EURO,18.83,,,,,SBSP3,,,,,
ABEV3,Call,12/21/2020,ABEVL190,AMER,18.58,,,,,SEER3,,,,,
ABEV3,Call,12/21/2020,ABEVL210,AMER,21.08,,,,,SLCE3,,,,,
ABEV3,Call,12/21/2020,ABEVL217,EURO,21.33,,,,,SMAL11,,,,,
ABEV3,Call,12/21/2020,ABEVL218,EURO,21.83,,,,,SMLS3,,,,,
ABEV3,Call,12/21/2020,ABEVL220,AMER,21.58,,,,,SMTO3,,,,,
ABEV3,Call,12/21/2020,ABEVL223,EURO,22.33,,,,,SPXI11,,,,,
ABEV3,Call,12/21/2020,ABEVL228,AMER,22.08,,,,,STBP3,,,,,
ABEV3,Call,4/19/2021,ABEVD150,AMER,14.58,,,,,SULA11,,,,,
ABEV3,Call,4/19/2021,ABEVD203,EURO,20.33,,,,,SUZB3,,,,,
